institution,overall_score_2018,overall_score_2019,overall_score_2021,overall_score_2023,overall_score_2025,overall_score_2026
UNIVERSITY OF OULU,29.3,29.2,29.3,28.930644389880953,28.117448822744457,26.704730015032915
WAKE FOREST UNIVERSITY,29.2,28.7,28.3,26.440970340983196,25.176844192422337,23.31610875845521
HITOTSUBASHI UNIVERSITY,28.9,25.5,25.8,22.844837994876173,21.705422591674,19.52797712314904
SHANGHAI UNIVERSITY,29.0,27.0,27.8,27.244454361733258,28.092417057504473,26.91538693715674
SWINBURNE UNIVERSITY OF TECHNOLOGY,29.0,28.7,28.8,35.294876716468664,35.20414470807734,35.891134719245464
THE UNIVERSITY OF GEORGIA,29.1,26.7,25.0,20.51351963968131,17.55842671361085,14.792302669726745
UNIVERSITY OF CONNECTICUT,29.1,29.4,29.0,30.900859921886585,18.57081402415209,15.533518769406445
UNIVERSITY OF DELAWARE,28.8,26.2,24.3,21.309646781471166,18.841549160429068,16.628615463195864
UNIVERSITY OF IOWA,28.8,26.4,27.3,25.29814775400252,21.420340776376158,18.877900951025495
BOND UNIVERSITY,28.4,26.0,26.0,24.770088014731954,25.431895717537017,24.13369765723091
CONCORDIA UNIVERSITY,28.5,25.2,25.2,22.21303240482887,20.6724057758656,18.444208469787363
FLORIDA STATE UNIVERSITY,28.7,25.0,25.8,23.68964154355832,19.22391363627238,16.565316279855445
NATIONAL UNIVERSITY OF SCIENCES AND TECHNOLOGY (NUST) ISLAMABAD,28.3,27.3,28.2,31.91309283577027,32.50532301505884,32.47087619844528
SWANSEA UNIVERSITY,28.3,26.4,25.2,27.20050324433032,30.782634999537198,31.121324406584005
XIAMEN UNIVERSITY,28.3,24.7,25.7,27.24385992893932,29.807540157898732,29.584367472987566
OREGON STATE UNIVERSITY,28.1,25.7,25.3,20.873091341240304,17.20612410126135,14.17912163894141
SINGAPORE MANAGEMENT UNIVERSITY,27.9,23.5,24.9,21.817028173335103,20.15155953239025,17.736086319038282
SOGANG UNIVERSITY,27.8,26.4,25.6,25.6558970762243,25.330162679688183,24.283286050088048
BEIJING INSTITUTE OF TECHNOLOGY,27.5,25.2,26.4,30.68524348459321,37.53290073387228,38.92024583306156
SULTAN QABOOS UNIVERSITY,27.3,25.7,28.9,29.292295233745637,29.909327840957708,28.69826982023983
TULANE UNIVERSITY,27.6,27.5,27.4,25.151816035335905,24.514855310478964,22.654300051917
UNIVERSITY OF EASTERN FINLAND,27.5,24.4,24.2,22.10782347876043,20.898731495649812,19.026513069416545
UNIVERSITY OF SASKATCHEWAN,27.2,25.3,26.2,25.041757329352187,26.435840918049152,25.21286369206752
UNIVERSITY OF STIRLING,27.6,27.3,24.8,23.937766953550742,21.319237798000692,19.731421130753464
JAGIELLONIAN UNIVERSITY,27.1,27.6,31.9,35.51420704188476,35.05207841479214,34.38085099248566
UNIVERSIDAD DE ZARAGOZA,26.7,27.5,26.7,22.177421773486877,22.39817685568629,20.146326259797696
WAYNE STATE UNIVERSITY,27.0,26.2,24.5,20.53199669472935,18.916685390710946,16.5755164904662
HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,26.5,27.4,28.2,34.50911014962571,33.04354582647822,33.34011181297366
TIANJIN UNIVERSITY,26.5,26.0,27.0,34.29582995778384,38.52503490594505,40.2485436731682
ABERYSTWYTH UNIVERSITY,26.2,26.5,24.5,19.282653548104687,16.719394337924065,13.862704008914973
CHANG GUNG UNIVERSITY,26.3,26.8,24.5,24.945879949895343,26.214979258092182,25.766835891161428
COLORADO STATE UNIVERSITY,26.1,25.7,26.0,27.836813134806086,26.156473867708602,25.225540116705858
UNIVERSITY OF DELHI,26.1,24.2,25.0,23.45861489075904,25.03402443223296,23.767520159818147
JILIN UNIVERSITY,25.6,24.8,24.5,24.29690458636852,23.173324886678415,21.859299489127157
